query_id,query,passed,keyword_passed,comparison,hit_rank,hit_document_id,hit_title,hit_source_type,metadata_ratio,result_count,best_score,top_scores,top_titles,top_source_types,provider,model_name,notes
construction_quality,施工质量 堆石混凝土,yes,yes,same_pass,1,21,堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam,institutional_access_pdf,0.12,8,0.7785,0.7785 || 0.7576 || 0.7497 || 0.7462 || 0.7308 || 0.6947 || 0.6762 || 0.6722,堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 大体积堆石（卵石）混凝土内部温度的试验研究 || 自密实混凝土充填堆石体试验研究,institutional_access_pdf || local_file || institutional_access_pdf || local_file || institutional_access_pdf || institutional_access_pdf || metadata_record || local_file,deterministic,hash-token-v1,检查中文施工质量问题能否命中质量控制或密实度检测相关资料
filling_capacity_cn,填充能力 自密实混凝土 堆石体,yes,yes,same_pass,2,2,自密实混凝土充填堆石体试验研究,local_file,0.00,8,0.7399,0.7399 || 0.7392 || 0.7270 || 0.6754 || 0.6637 || 0.6596 || 0.6553 || 0.6284,"堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 自密实混凝土充填堆石体试验研究 || Experimental study of filling capacity of self-compacting concrete and its influence on the properties of rock-filled concrete || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Rock-filled concrete, the new norm of SCC in hydraulic engineering in China || 自密实堆石混凝土力学性能的试验研究 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam",local_file || local_file || local_file || institutional_access_pdf || local_file || local_file || institutional_access_pdf || institutional_access_pdf,deterministic,hash-token-v1,检查中文填充能力和英文 filling capacity 的同义召回
filling_capacity_en,filling capacity rock-filled concrete,no,yes,keyword_only_pass,,,,,0.88,8,0.3531,0.3531 || 0.3404 || 0.2698 || 0.2462 || 0.2367 || 0.2345 || 0.2343 || 0.2152,Preliminary study on temperature rise property of thermal insulation of rock-fill concrete || Preliminary study on temperature rise property of thermal insulation of rock-fill concrete || Experiment on Self-Compacting Concrete Filling Rock-Fill || Experimental study of Self-Compacting Concrete filled prepacked rock || 堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || The Influence of Construction Parameters on the Temperature Field of Rock-Filled Concrete || 大体积堆石（卵石）混凝土内部温度的试验研究 || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,metadata_record || metadata_record || metadata_record || metadata_record || metadata_record || metadata_record || metadata_record || open_access_pdf,deterministic,hash-token-v1,检查英文填充能力主题
thermal_control,水化热 温升 堆石混凝土,yes,yes,same_pass,1,5,堆石混凝土绝热温升性能初步研究,local_file,0.12,8,0.7888,0.7888 || 0.6532 || 0.6360 || 0.5879 || 0.5820 || 0.5771 || 0.5670 || 0.5478,堆石混凝土绝热温升性能初步研究 || 大体积堆石（卵石）混凝土内部温度的试验研究 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam,local_file || metadata_record || institutional_access_pdf || institutional_access_pdf || local_file || institutional_access_pdf || local_file || institutional_access_pdf,deterministic,hash-token-v1,检查中文温控词能否命中中英文温度场资料
elastic_modulus,弹性模量 rock-filled concrete,yes,yes,same_pass,2,17,A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete,open_access_pdf,0.25,8,0.3968,0.3968 || 0.3689 || 0.3596 || 0.3167 || 0.3162 || 0.3025 || 0.3024 || 0.2975,Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || A Comprehensive Literature Review on the Elastic Modulus of Rock-filled Concrete || State-of-the-Art and Future Prospects || 3D mesoscopic numerical investigation on the uniaxial compressive behavior of rock-filled concrete with different ITZ and aggregate properties || Quality Control and Instrumentation || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics,open_access_pdf || open_access_pdf || metadata_record || open_access_pdf || metadata_record || open_access_pdf || open_access_pdf || open_access_pdf,deterministic,hash-token-v1,检查中文弹性模量与英文 elastic modulus 混合查询
seismic_behavior,抗震 seismic behavior rock-filled concrete dam,yes,yes,same_pass,1,18,Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method,open_access_pdf,0.38,8,0.4165,0.4165 || 0.4107 || 0.3402 || 0.3373 || 0.3241 || 0.3164 || 0.3139 || 0.3086,"Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Integrated evaluation of cost, schedule and emission performance on rock-filled concrete dam construction operation using discrete event simulation || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Study on rock-fill concrete dam || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method",open_access_pdf || metadata_record || metadata_record || institutional_access_pdf || metadata_record || open_access_pdf || open_access_pdf || open_access_pdf,deterministic,hash-token-v1,检查抗震/地震/seismic 同义词
review_overview,堆石混凝土 综述 next generation,yes,yes,same_pass,7,10,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,local_file,0.12,8,0.6467,0.6467 || 0.5849 || 0.5522 || 0.5463 || 0.5449 || 0.5223 || 0.5025 || 0.4958,堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 大体积堆石（卵石）混凝土内部温度的试验研究 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam,institutional_access_pdf || local_file || institutional_access_pdf || institutional_access_pdf || metadata_record || institutional_access_pdf || local_file || institutional_access_pdf,deterministic,hash-token-v1,检查综述类资料召回
mesoscopic_modeling,细观 数值 模拟 堆石混凝土,no,yes,keyword_only_pass,,,,,0.12,8,0.6795,0.6795 || 0.6668 || 0.6650 || 0.6619 || 0.6451 || 0.6289 || 0.6212 || 0.5981,堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 大体积堆石（卵石）混凝土内部温度的试验研究 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土绝热温升性能初步研究 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam,institutional_access_pdf || local_file || metadata_record || institutional_access_pdf || institutional_access_pdf || local_file || institutional_access_pdf || institutional_access_pdf,deterministic,hash-token-v1,检查中文细观/数值/模拟到英文 mesoscopic/simulation 的召回
cold_joint_shear,层间 冷缝 shear rock-filled concrete,yes,yes,same_pass,7,82,Effect of rock shear keys on the shear performance of cold joints in rock-filled concrete structures: Experimental and numerical investigation,metadata_record,0.75,8,0.4649,0.4649 || 0.4066 || 0.3326 || 0.3256 || 0.3094 || 0.2836 || 0.2649 || 0.2612,堆石混凝土技术“引发革命”——清华大学堆石混凝土专利技术将在第六届四川国际水电产业展览会上亮相 || 大体积堆石（卵石）混凝土内部温度的试验研究 || 探析水利混凝土工程的施工要点及其裂缝控制 || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Preliminary study on temperature rise property of thermal insulation of rock-fill concrete || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete || Effect of rock shear keys on the shear performance of cold joints in rock-filled concrete structures: Experimental and numerical investigation || 堆石混凝土（RFC）在布尔津山口电站围堰方案中的设计与应用,metadata_record || metadata_record || metadata_record || institutional_access_pdf || metadata_record || local_file || metadata_record || metadata_record,deterministic,hash-token-v1,检查冷缝/层间/剪切主题
peridynamics,peridynamics rock-filled concrete,no,yes,keyword_only_pass,,,,,0.50,8,0.2347,0.2347 || 0.2105 || 0.2034 || 0.1846 || 0.1822 || 0.1757 || 0.1732 || 0.1705,大体积堆石（卵石）混凝土内部温度的试验研究 || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || A Mesoscale Comparative Analysis of the Elastic Modulus in Rock-Filled Concrete for Structural Applications || Study on the Material Mechanical Performance of Large Scale Self-Compacting Rock-Filled Concrete || Application of C20 self-compacting concrete within rock-filled concrete || Seismic Behavior of Rock-Filled Concrete Dam Compared with Conventional Vibrating Concrete Dam Using Finite Element Method || A Study on Adiabatic Temperature Rise Test and Temperature Stress Simulation of Rock-Fill Concrete || Lattice Boltzmann-Discrete Element Modeling Simulation of SCC Flowing Process for Rock-Filled Concrete,metadata_record || open_access_pdf || open_access_pdf || metadata_record || metadata_record || open_access_pdf || metadata_record || open_access_pdf,deterministic,hash-token-v1,检查英文专有方法 Peridynamics
construction_management,CIM4R construction information management,no,yes,keyword_only_pass,,,,,0.00,8,0.3788,0.3788 || 0.3751 || 0.3655 || 0.3588 || 0.3580 || 0.3573 || 0.3567 || 0.3505,Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || 堆石混凝土及堆石混凝土大坝 / Study on rock-fill concrete dam || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Experimental Research on the Properties of Rock-Filled Concrete || A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics || Full-Scale micromechanical simulation of rock-filled concretes using Peridynamics,open_access_pdf || open_access_pdf || institutional_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf || open_access_pdf,deterministic,hash-token-v1,检查施工信息管理题录
